Drug,GENE
Vinorelbine tartrate,TUBB2A
Ifosfamide,TP53
Tamoxifen citrate,PIK3CA
Sirolimus,PIK3CA
Methotrexate,CYP3A4
Dactinomycin,RXRA
Raloxifene hydrochloride,CYP2D6
Ifosfamide,IL6
Dactinomycin,COIL
Hydroxyurea,HRAS
Tretinoin,LIF
Imatinib mesylate,BCR
Tretinoin,NOS1
Bortezomib,PSMC2
Daunorubicin hydrochloride,TOP2A
Tamoxifen citrate,TGFB1
Erlotinib hydrochloride,MET
Bortezomib,PSMD14
Vinorelbine tartrate,BRCA1
Vinblastine sulfate,TUBB4B
Bortezomib,BDNF
Vinblastine sulfate,GMNN
Gefitinib,CYP3A5
Sirolimus,AKT1
Etoposide,EIF4E
Vinblastine sulfate,TUBA1C
Gefitinib,CSNK1D
Etoposide,NCOA1
Raloxifene hydrochloride,RACGAP1
Mitomycin,VWF
Cisplatin,HPGD
Azacitidine,TET2
Streptozocin,PTGER4
Tretinoin,ALPL
Erlotinib hydrochloride,MINK1
Dasatinib,HRAS
Bortezomib,PSMD8
Bortezomib,HSPB2
Gefitinib,CYP2D6
Bortezomib,PSMA5
Etoposide,GLP1R
Gemcitabine hydrochloride,CBL
Tretinoin,PTCH1
Bortezomib,PSMC1
Tamoxifen citrate,HEXB
Vinblastine sulfate,TUBA1A
Crizotinib,ETV6
Capecitabine,MET
Quinacrine hydrochloride,APEX1
Paclitaxel,MET
4'-Epiadriamycin,ERBB2
Dasatinib,SRC
Raloxifene hydrochloride,TERT
Daunorubicin hydrochloride,HDAC6
Vorinostat,TUBA1B
Docetaxel,TP53
Methotrexate,ABCC4
Fluorouracil,ITGAL
Capecitabine,ERBB2
Streptozocin,ADCYAP1
Tretinoin,P2RY2
Cisplatin,MGMT
Romidepsin,HDAC9
Cisplatin,DDIT3
Methotrexate,TPM3
Doxorubicin hydrochloride,ABCC1
Erlotinib hydrochloride,MKNK2
Raloxifene hydrochloride,TSHB
Axitinib,KIT
Temozolomide,H2AX
Everolimus,BRAF
Carboplatin,MAPT
Cisplatin,BIRC5
Lapatinib ditosylate,CYP3A5
Vincristine sulfate,GMNN
Paclitaxel,TUBA3C
Cisplatin,RRM1
Azacitidine,ALDH1A1
Streptozocin,SLC5A1
Bortezomib,PSMC1P1
Vinblastine sulfate,MMP2
Mitoxantrone,TOP2A
Fluorouracil,TYMP
Daunorubicin hydrochloride,MAPT
Methotrexate,AFP
Doxorubicin hydrochloride,TGM2
Doxorubicin hydrochloride,BDNF
Vinblastine sulfate,TUBB6
Etoposide,BAX
Gemcitabine hydrochloride,PTEN
Vandetanib,FYN
Vinblastine sulfate,TUBA3D
Thiotepa,HPGD
Thioguanine,EHMT2
Arsenic trioxide,MAPK10
Romidepsin,KRAS
Streptozocin,CTSD
Gemcitabine hydrochloride,SMAD4
Daunorubicin hydrochloride,THRB
Vincristine sulfate,NRG1
Gefitinib,PIM3
Etoposide,CYP2C19
Mitoxantrone,ATXN2
Raloxifene hydrochloride,TP53
Bortezomib,PLG
Floxuridine,BCL2
Idarubicin hydrochloride,RAPGEF4
Cytarabine hydrochloride,VDR
Vincristine sulfate,TUBB4B
Quinacrine hydrochloride,POLI
Ixabepilone,TUBB3
Mitoxantrone,NSD2
Tamoxifen citrate,TYMS
Bortezomib,PSMD10P2
Raloxifene hydrochloride,ESR2
Daunorubicin hydrochloride,IDH1
Doxorubicin hydrochloride,DNMT1
Raloxifene hydrochloride,BAZ2B
Docetaxel,HRAS
Bortezomib,PSMD9
Methotrexate,BIRC5
Gemcitabine hydrochloride,AR
Cisplatin,PIK3CA
Dactinomycin,CEL
Tamoxifen citrate,EDN1
Mitoxantrone,MPHOSPH8
Tretinoin,MST1
Vincristine sulfate,HIF1A
Cyclophosphamide,ERBB2
Daunorubicin hydrochloride,HDAC8
Bortezomib,PMAIP1
Lapatinib ditosylate,ERBB2
Bortezomib,PSME3
Lapatinib ditosylate,FGFR2
Sirolimus,MTOR
Methotrexate,HSPB2
Tamoxifen citrate,CETP
Bortezomib,PSMD10P3
Tretinoin,EGR2
Decitabine,IDH1
Cisplatin,ABCC4
Doxorubicin hydrochloride,SNCA
Tretinoin,HOXD1
Fluorouracil,IL11
Anastrozole,IGF2
Floxuridine,ERBB2
Paclitaxel,TUBB2B
Paclitaxel,NFE2
Fludarabine,BAX
Raloxifene hydrochloride,IGF1R
Paclitaxel,SRC
Bleomycin sulfate,GJA1
Carboplatin,TP73
Imatinib mesylate,EYA2
Gefitinib,IGF2
Daunorubicin hydrochloride,APEX1
Tretinoin,TG
Erlotinib hydrochloride,CDH1
Vinblastine sulfate,ABCB4
Daunorubicin hydrochloride,CYP1A1
Doxorubicin hydrochloride,BIRC5
Melphalan,NFE2L2
Raloxifene hydrochloride,CYP1A2
Floxuridine,CYP3A4
Bortezomib,ADRM1
Crizotinib,TP53
Cisplatin,CDC25C
Raloxifene hydrochloride,NR1H4
Bortezomib,PSMC3
Bortezomib,RB1
Sirolimus,EML4
Doxorubicin hydrochloride,PPARD
Cisplatin,IDH1
Mercaptopurine,HBB
Fludarabine,POLA1
Daunorubicin hydrochloride,KMT2A
Cisplatin,XRCC5
Daunorubicin hydrochloride,TYMS
Bortezomib,PSMD11
Bortezomib,PSMA3
Vinblastine sulfate,TUBB
Paclitaxel,AKT1
Methotrexate,S100A12
Bortezomib,PSMD12
Tretinoin,NFE2L2
Daunorubicin hydrochloride,YWHAG
Raloxifene hydrochloride,PIK3CG
Sirolimus,TP53
Raloxifene hydrochloride,CYP2C19
Pemetrexed Disodium,DHFR
Bortezomib,PSMC6
Dactinomycin,TOP2A
Bortezomib,PSME2P2
Methotrexate,CDKN1B
Vincristine sulfate,TUBB2B
Sorafenib tosylate,AR
Melphalan,PLAT
Sorafenib tosylate,NTRK2
Axitinib,PDGFB
Fluorouracil,HBB
Temozolomide,IDH1
Doxorubicin hydrochloride,CYP7B1
Cisplatin,RGS4
Thiotepa,TP53
Azacitidine,TAGLN
Cytarabine hydrochloride,IL1B
Cisplatin,TYMS
Vemurafenib,PTEN
Gefitinib,CAMK2G
Thalidomide,VWF
Vemurafenib,AKT1
Dasatinib,CBL
Sunitinib,CSF1R
Paclitaxel,BCL2
Quinacrine hydrochloride,POLB
Fluorouracil,CYP3A4
Paclitaxel,TUBB4A
Bortezomib,NOTCH1
Streptozocin,ACP5
Bleomycin sulfate,AFP
Vinorelbine tartrate,ERBB2
Idarubicin hydrochloride,RAPGEF3
Hydroxyurea,PTH
Sirolimus,AR
Carmustine,CYP2C9
Bortezomib,KRAS
Fludarabine,PIK3CG
Raloxifene hydrochloride,CBX1
Vandetanib,GMNN
Busulfan,ABL1
Vorinostat,TUBB1
Streptozocin,SST
Cisplatin,SMAD4
Thalidomide,FCGR3A
Methotrexate,S100A8
Gefitinib,MAPT
Cisplatin,NFE2L2
Thalidomide,IL6R
Methoxsalen,CYP3A4
Tamoxifen citrate,EHMT2
Etoposide,ABCC1
Bleomycin sulfate,IFNG
Tretinoin,SHH
Erlotinib hydrochloride,TP53
Capecitabine,KRAS
Docetaxel,MCL1
Cisplatin,ABCC1
Streptozocin,PREP
Bortezomib,PSMD7
Everolimus,EGFR
Raloxifene hydrochloride,EHMT2
Mitoxantrone,BCL2
Dactinomycin,BDNF
Carboplatin,ABCB1
Streptozocin,S100B
Sirolimus,IL7
Cyclophosphamide,TNFRSF1A
Etoposide,CYP1A2
Sirolimus,STK11
Cisplatin,HSPA4
Bleomycin sulfate,CTLA4
Tretinoin,SPP1
Cisplatin,NTRK2
Floxuridine,TYMS
Daunorubicin hydrochloride,HSP90AB1
Dactinomycin,TNFRSF1B
4'-Epiadriamycin,ABCB1
Paclitaxel,TUBB6
Gemcitabine hydrochloride,BRCA1
Mercaptopurine,TP53
Doxorubicin hydrochloride,ABCB1
Oxaliplatin,GSTP1
Tamoxifen citrate,KCNH2
Erlotinib hydrochloride,ALK
Thalidomide,FCGR3B
Methotrexate,HSD17B10
Streptozocin,HGF
Hydroxyurea,BLM
Melphalan,OPLAH
Idarubicin hydrochloride,AR
Streptozocin,IGFBP1
Gefitinib,FGFR2
Vemurafenib,TP53
Sunitinib,KRAS
Tretinoin,CEACAM1
Fluorouracil,DPYD
Paclitaxel,ABCB1
Doxorubicin hydrochloride,EHMT2
Carboplatin,PDGFRA
Tamoxifen citrate,TP53
Doxorubicin hydrochloride,ABCC3
Topotecan hydrochloride,AKT1
Mercaptopurine,NUDT15
Tamoxifen citrate,GMNN
Methotrexate,FOLH1
Streptozocin,KCNJ11
Tretinoin,TP73
Bortezomib,PSMA2
Tretinoin,CALR
Cyclophosphamide,ALK
Imatinib mesylate,PIK3CG
Daunorubicin hydrochloride,HDAC9
Vinorelbine tartrate,BAX
Cyclophosphamide,BRCA2
Tamoxifen citrate,ESR2
Cyclophosphamide,MAPK3
Vandetanib,IDH1
Floxuridine,CYP2C19
Thioguanine,ACHE
Allopurinol,XDH
Doxorubicin hydrochloride,UGCG
Doxorubicin hydrochloride,NT5E
Sorafenib tosylate,HIPK4
Clofarabine,AR
Cisplatin,BCL2
Cisplatin,DRAM1
Tamoxifen citrate,COL18A1
Daunorubicin hydrochloride,HDAC3
Cisplatin,ERCC1
Oxaliplatin,MTHFR
Tretinoin,PRL
Thalidomide,FGFR2
Tamoxifen citrate,CYP2D6
Streptozocin,PRKAA1
Oxaliplatin,ABL1
Vandetanib,MAPK14
Gemcitabine hydrochloride,AKT1
Mercaptopurine,IDH1
Paclitaxel,FASN
Tamoxifen citrate,CYP2C9
Cisplatin,EGFR
Vincristine sulfate,TUBB8
Etoposide,ATM
Bortezomib,PSMC4
Crizotinib,SMAD4
Azacitidine,TG
Topotecan hydrochloride,IDH1
Methotrexate,CCND1
Cisplatin,BRCA1
Cisplatin,IFNG
Raloxifene hydrochloride,PIK3CA
Vorinostat,TUBA1C
Tamoxifen citrate,KLK3
Dactinomycin,RECQL
Vorinostat,FBXW7
Pemetrexed Disodium,SLC19A1
Romidepsin,HDAC8
Cisplatin,ATP7B
Fluorouracil,BRAF
Vorinostat,TUBA3E
Gefitinib,PIM1
Vandetanib,MTOR
Arsenic trioxide,HSPA4
Erlotinib hydrochloride,RET
Pemetrexed Disodium,KRAS
Azacitidine,GGT1
Cytarabine hydrochloride,CSF2
Tretinoin,APOA1
Fluorouracil,MUC2
Fluorouracil,ABCB1
Sirolimus,FGF2
Bortezomib,PRSS1
Doxorubicin hydrochloride,CHEK1
Crizotinib,EML4
Bortezomib,F12
Paclitaxel,TUBB4B
Cisplatin,KDM4E
Thioguanine,HPGD
Streptozocin,MMP2
Mitoxantrone,WRN
Bortezomib,PLAT
Arsenic trioxide,TERT
Vinblastine sulfate,TUBA3C
Mercaptopurine,BAZ2B
Gefitinib,GMNN
Carboplatin,KAT2A
Methotrexate,KCNA1
Fludarabine,SMAD3
Celecoxib,CYP3A4
Dasatinib,DYRK3
Doxorubicin hydrochloride,MYOD1
Docetaxel,FOLH1
Etoposide,AFP
Fluorouracil,DTYMK
Fulvestrant,PIK3CG
Paclitaxel,PTEN
Doxorubicin hydrochloride,WRN
Sirolimus,NOS1
Temozolomide,MGMT
Bortezomib,PSME1
Mercaptopurine,CYP3A4
Pemetrexed Disodium,GART
Imatinib mesylate,SFN
Mercaptopurine,IL2RA
Melphalan,AR
Etoposide,ITGAL
Tretinoin,EHMT2
Sunitinib,KIT
Azacitidine,MGMT
Doxorubicin hydrochloride,PIK3CB
Tretinoin,SLC2A1
Fulvestrant,ESR2
Etoposide,KLK3
Doxorubicin hydrochloride,ERBB2
Cisplatin,MYCN
Erlotinib hydrochloride,ERBB2
Oxaliplatin,BAX
Cyclophosphamide,CYP3A4
Cisplatin,GCLC
Azacitidine,ASXL1
Doxorubicin hydrochloride,HSP90AB1
Doxorubicin hydrochloride,POLH
Erlotinib hydrochloride,JAK2
Erlotinib hydrochloride,PRKD2
Temozolomide,BRCA1
Paclitaxel,LIF
Ifosfamide,MGMT
Doxorubicin hydrochloride,SMAD3
Fulvestrant,EPHX2
Gefitinib,MAP4K5
Celecoxib,RORC
Quinacrine hydrochloride,EHMT2
Doxorubicin hydrochloride,AKT1
Melphalan,CDKN1A
4'-Epiadriamycin,CHD1
Mitomycin,BGLAP
Crizotinib,ERBB2
Doxorubicin hydrochloride,PIK3CA
Daunorubicin hydrochloride,TOP1
Cyclophosphamide,EHMT2
Daunorubicin hydrochloride,FLT3
Oxaliplatin,KRAS
Dactinomycin,CYP1A2
Doxorubicin hydrochloride,POLK
Cytarabine hydrochloride,SLC29A1
Everolimus,AKT3
Thalidomide,CYP1A2
Megestrol acetate,IL15
Etoposide,EGFR
Vemurafenib,CSF1R
Mitoxantrone,ABCG2
Dasatinib,TNK2
Cyclophosphamide,CYP2C9
Doxorubicin hydrochloride,LPL
Vinblastine sulfate,TUBB2B
Sorafenib tosylate,ATXN2
Cisplatin,PLAU
Dacarbazine,PLAU
Mercaptopurine,VCAM1
Dasatinib,ABL2
Cisplatin,GCLM
Cisplatin,ATM
Thiotepa,EHMT2
Thiotepa,VDR
Sorafenib tosylate,PAX8
Bortezomib,PSMD10
Dasatinib,PKN2
Doxorubicin hydrochloride,CDKN1B
Floxuridine,ABCC5
Exemestane,NFE2L2
Pemetrexed Disodium,PTEN
Busulfan,GALC
Tamoxifen citrate,PGR
Mercaptopurine,KDM4E
Tamoxifen citrate,CYP2C19
Daunorubicin hydrochloride,ATAD5
Oxaliplatin,MET
Sunitinib,PDGFD
Cisplatin,HTR4
Dactinomycin,RORC
Tretinoin,TGFB1
Everolimus,FKBP1A
Cyclophosphamide,ITGB2
Celecoxib,DDIT3
Tretinoin,RPE65
Fluorouracil,PIK3CA
Arsenic trioxide,SERPINE1
Docetaxel,SLCO1B1
Topotecan hydrochloride,BDNF
Cisplatin,BRCA2
Gefitinib,ERBB3
Hydroxyurea,DUSP1
Doxorubicin hydrochloride,SRI
Vinblastine sulfate,AR
Lapatinib ditosylate,SRC
Doxorubicin hydrochloride,TAF1
Clofarabine,POLA1
Tretinoin,CXCL8
Bortezomib,PSMD5
Sirolimus,ABCG2
Dactinomycin,PPARD
Sorafenib tosylate,IRAK1
Carboplatin,POLK
Fulvestrant,NOS1
Doxorubicin hydrochloride,E2F1
Quinacrine hydrochloride,USP1
Docetaxel,MUC16
Lapatinib ditosylate,AURKB
Everolimus,NOTCH1
Decitabine,DNMT1
Tretinoin,USP1
Doxorubicin hydrochloride,SDHB
Dasatinib,SIK2
Melphalan,MGMT
Thioguanine,KDM4A
Tamoxifen citrate,RUNX1
Mitomycin,CGB5
Floxuridine,IDH1
Methotrexate,GSTM1
Vorinostat,EZH2
Cabazitaxel,TUBA4A
Vinblastine sulfate,TUBB4A
Sorafenib tosylate,CSF1R
Raloxifene hydrochloride,RXRA
Etoposide,IGF2
Doxorubicin hydrochloride,STAT6
Mitoxantrone,PIM1
Carboplatin,MCL1
Dactinomycin,APEX1
Mitoxantrone,RPSA
Vandetanib,LTK
Tamoxifen citrate,AR
Bleomycin sulfate,CCL17
Nilotinib,KIT
Topotecan hydrochloride,TSG101
Sirolimus,MCL1
Imatinib mesylate,FIP1L1
Melphalan,GSTP1
Dactinomycin,VDR
Tamoxifen citrate,TGM2
Streptozocin,ENO2
Dacarbazine,CYP2C9
Zoledronic acid,IBSP
Dactinomycin,BGLAP
Erlotinib hydrochloride,BRAF
Bortezomib,CAPN1
Sirolimus,PLAU
Cyclophosphamide,NAT2
Imatinib mesylate,CYP3A4
Cisplatin,MT1H
Fluorouracil,TPT1
Cytarabine hydrochloride,CCND1
Fluorouracil,BAX
Cyclophosphamide,CYP2B6
Temozolomide,CSF2
Bortezomib,BAX
Letrozole,PGR
Erlotinib hydrochloride,AR
Romidepsin,KMT2A
Everolimus,AKT1
Docetaxel,GSTM1
Paclitaxel,PIK3CA
Paclitaxel,ERBB2
Paclitaxel,TUBA3D
Doxorubicin hydrochloride,ESR1
Tretinoin,NR4A1
Tamoxifen citrate,CBFB
Gemcitabine hydrochloride,KRAS
Tamoxifen citrate,BRCA1
Topotecan hydrochloride,HIF1A
Erlotinib hydrochloride,LTK
Romidepsin,HDAC5
Daunorubicin hydrochloride,EHMT2
Idarubicin hydrochloride,ERG
Thalidomide,F2R
Sirolimus,RBL2
Topotecan hydrochloride,ATRX
Daunorubicin hydrochloride,RECQL
Paclitaxel,AR
Erlotinib hydrochloride,BLK
Tretinoin,BCOR
Paclitaxel,CDKN1A
Dasatinib,MINK1
Paclitaxel,SMAD4
Raloxifene hydrochloride,ESR1
Everolimus,PTEN
Lapatinib ditosylate,ERBB3
Tretinoin,SMAD2
Raloxifene hydrochloride,PPARD
Daunorubicin hydrochloride,HDAC4
Imatinib mesylate,SMAD3
Busulfan,G6PD
Topotecan hydrochloride,TYMS
Azacitidine,ATAD5
Cisplatin,LIF
Cisplatin,DFFB
Pemetrexed Disodium,TYMS
Fluorouracil,MYB
Doxorubicin hydrochloride,CYP1A2
Cyclophosphamide,GCG
Gemcitabine hydrochloride,RRM1
Carboplatin,CDKN1A
Busulfan,THPO
Vorinostat,SMARCB1
Tamoxifen citrate,KDM4E
Cyclophosphamide,CYP2C19
Pemetrexed Disodium,SLC46A1
Ifosfamide,GSTP1
Carboplatin,CDKN2A
Lapatinib ditosylate,HLA-DQA1
Vorinostat,ACE
Ixabepilone,KRAS
Docetaxel,PGR
Streptozocin,PIK3CA
Gefitinib,ABCB1
Methotrexate,RB1
Streptozocin,TRPV1
Crizotinib,CDKN2A
Quinacrine hydrochloride,KCNH2
Tamoxifen citrate,ERBB2
Streptozocin,UCP1
Sirolimus,DDIT3
Streptozocin,KCNA2
Methotrexate,NOTCH1
Hydroxyurea,DNMT1
Mercaptopurine,HPRT1
Vorinostat,TP53
Thioguanine,HBB
Bortezomib,PSMA4
Azacitidine,CD247
Bortezomib,BCL2L2
Daunorubicin hydrochloride,TP53
Etoposide,UGT1A10
Cisplatin,TPMT
Mitoxantrone,RACGAP1
Tretinoin,HES1
Sirolimus,BAX
Dasatinib,PPARD
Dasatinib,SMAD3
Doxorubicin hydrochloride,HSP90AA1
Cisplatin,ALDH1A1
Vincristine sulfate,AFP
Idarubicin hydrochloride,USP1
Daunorubicin hydrochloride,RUNX1
Fluorouracil,FPGS
Vincristine sulfate,NTF3
Cyclophosphamide,TP53
4'-Epiadriamycin,BIRC5
Streptozocin,DDIT3
Doxorubicin hydrochloride,POLB
Doxorubicin hydrochloride,APAF1
Methotrexate,HGF
Bleomycin sulfate,F2R
Vinblastine sulfate,TUBA4A
Carboplatin,SMAD4
Bortezomib,PSME2
Azacitidine,TP53
Daunorubicin hydrochloride,ESR1
Abiraterone,PTEN
Floxuridine,CYP1A2
Quinacrine hydrochloride,ATAD5
Doxorubicin hydrochloride,ATRX
Tretinoin,IL10
Melphalan,EHMT2
Azacitidine,NFE2L2
Bortezomib,PSMC5
Dacarbazine,CYP3A4
Anastrozole,ESR1
Topotecan hydrochloride,MUC16
Tretinoin,HIF1A
Carboplatin,KRAS
Cisplatin,GADD45A
Etoposide,CYP2D6
Etoposide,CYP2C9
Mitoxantrone,MAPK1
Doxorubicin hydrochloride,SP3
Sirolimus,ABCB1
Doxorubicin hydrochloride,YWHAG
Bleomycin sulfate,WRN
Vincristine sulfate,SMAD3
Tretinoin,BIRC5
Erlotinib hydrochloride,HIPK4
Gefitinib,MAPK8
Fulvestrant,PIK3CA
Bleomycin sulfate,SMAD2
Celecoxib,EDN1
Vinblastine sulfate,ATXN2
Tamoxifen citrate,DHFR
Paclitaxel,KRAS
Gemcitabine hydrochloride,RRM2B
Mitomycin,AR
Bleomycin sulfate,PLAU
Vorinostat,NFE2L2
Doxorubicin hydrochloride,TOP1
Daunorubicin hydrochloride,HDAC10
Everolimus,BRCA2
Idarubicin hydrochloride,WRN
Dactinomycin,TNFRSF8
Gemcitabine hydrochloride,KDR
Sorafenib tosylate,VEGFB
Cisplatin,ATR
Vincristine sulfate,VWF
Tretinoin,TPO
Methotrexate,SULT2A1
Etoposide,GDF15
Tamoxifen citrate,KDM4A
Bortezomib,PSMB7
Floxuridine,ENO2
Ixabepilone,CYP3A4
Thioguanine,NUDT15
Cisplatin,TGM2
Etoposide,XIAP
Doxorubicin hydrochloride,BLM
Vincristine sulfate,CP
Daunorubicin hydrochloride,ERG
Sirolimus,CTLA4
Dasatinib,SLK
Celecoxib,CYP2C9
Temozolomide,PTEN
Bortezomib,PSMA1
Dasatinib,TP53
Vincristine sulfate,ABCB4
Imatinib mesylate,ABCB1
Celecoxib,APC
Dasatinib,APC
Carboplatin,TP53
Streptozocin,SLC2A5
Dacarbazine,MGMT
Dasatinib,LCK
Gemcitabine hydrochloride,CHEK1
Dasatinib,BCR
Dasatinib,MET
Bleomycin sulfate,LIG1
Paclitaxel,BRCA1
Romidepsin,MCL1
Vorinostat,MYD88
Doxorubicin hydrochloride,FCGR3A
Tretinoin,THBS1
Tretinoin,OCLN
Gemcitabine hydrochloride,HRAS
Ixabepilone,TUBB2A
Chlorambucil,ERBB2
Bortezomib,PSMD6
Temozolomide,STAG2
Romidepsin,HDAC7
Romidepsin,HDAC3
Topotecan hydrochloride,NFE2L2
Vorinostat,GMNN
Cytarabine hydrochloride,FCGR3B
Tamoxifen citrate,BAZ2B
Vinblastine sulfate,CSF2
Sorafenib tosylate,AXL
Imatinib mesylate,YES1
Etoposide,PLA2G1B
Carmustine,GSR
Daunorubicin hydrochloride,USP1
Cisplatin,SRC
Daunorubicin hydrochloride,KDM4E
Melphalan,IFNG
Streptozocin,THRSP
Melphalan,CYP3A4
Fulvestrant,CYP1A2
Nilotinib,UGT1A1
Bortezomib,PSME4
Decitabine,DNMT3A
Azacitidine,FLT3
Cisplatin,XIAP
Lapatinib ditosylate,BRAF
Romidepsin,HDAC10
Sirolimus,WT1
Fludarabine,RRM1
Sirolimus,PGR
Mercaptopurine,RB1
Azacitidine,MYC
Topotecan hydrochloride,HBB
Mitotane,RORC
Paclitaxel,EGFR
Arsenic trioxide,EPO
Vincristine sulfate,TUBA4A
Paclitaxel,TUBB
Lenalidomide,IKZF1
Sorafenib tosylate,NTRK1
Sirolimus,PIM1
Raloxifene hydrochloride,ALDH1A1
Mitotane,KCNH2
Bortezomib,FLT3
Gefitinib,PDGFRA
Fluorouracil,CDC25C
Imatinib mesylate,MYC
Quinacrine hydrochloride,CYP3A4
Tretinoin,MDK
Doxorubicin hydrochloride,UGT1A5
Docetaxel,ESR1
Tretinoin,PTPRZ1
Cytarabine hydrochloride,XIAP
Sirolimus,IGFBP1
Topotecan hydrochloride,PTEN
Imatinib mesylate,CTNNB1
Fluorouracil,TP53
Doxorubicin hydrochloride,NFE2L2
Vorinostat,BRAF
Daunorubicin hydrochloride,RXRA
Hydroxyurea,CP
Methotrexate,TP53
Letrozole,PIK3CA
Arsenic trioxide,FAS
Daunorubicin hydrochloride,FEN1
Streptozocin,TGFB1
Vorinostat,MYC
Cisplatin,GABPA
Letrozole,ESR1
Mercaptopurine,KDM4A
Oxaliplatin,BRAF
Bortezomib,PSMB9
4'-Epiadriamycin,TOP2A
Tretinoin,BCL2
Daunorubicin hydrochloride,RORC
Arsenic trioxide,GSTO1
Doxorubicin hydrochloride,PLA2G1B
Axitinib,PDGFRB
Streptozocin,MT1H
Mercaptopurine,TPMT
Fluorouracil,APC
Sirolimus,RB1
Cisplatin,HMGB1
Cisplatin,AKT1
Tamoxifen citrate,ATXN2
Mitoxantrone,YES1
Dactinomycin,GRB2
Tretinoin,IL1R1
Megestrol acetate,AR
Azacitidine,GMNN
Imatinib mesylate,HCK
Fluorouracil,IL2RA
Mercaptopurine,CYP2C19
Pemetrexed Disodium,ATIC
Streptozocin,CSF2
Sorafenib tosylate,PTPN6
Imatinib mesylate,RAD52
Erlotinib hydrochloride,YES1
Lapatinib ditosylate,KRAS
Romidepsin,HDAC11
Doxorubicin hydrochloride,RPSA
Methoxsalen,MAPK14
Paclitaxel,IL2RA
Sorafenib tosylate,ARAF
Temozolomide,EGFR
Mitoxantrone,BLM
Daunorubicin hydrochloride,TOP2B
Dacarbazine,ADK
Bortezomib,XIAP
Imatinib mesylate,LCK
Daunorubicin hydrochloride,TSG101
Doxorubicin hydrochloride,MYB
Sunitinib,PDGFA
Tretinoin,AMH
Chlorambucil,GSTM1
Doxorubicin hydrochloride,S100A4
Raloxifene hydrochloride,IL6R
Vorinostat,ERBB2
Tretinoin,APOE
Streptozocin,SLC16A3
Topotecan hydrochloride,PLK1
Dactinomycin,CSF1
Paclitaxel,CDKN2A
Mitoxantrone,POLI
Cisplatin,FAS
Imatinib mesylate,CD40LG
Erlotinib hydrochloride,ABL1
Doxorubicin hydrochloride,EDN1
Fluorouracil,CYP2E1
Paclitaxel,PDGFRA
Ruxolitinib,MPL
Cisplatin,TERC
Methotrexate,TAT
Sirolimus,FKBP4
Cisplatin,KRAS
Bleomycin sulfate,ADK
Cisplatin,MPHOSPH8
Thiotepa,GMNN
Lapatinib ditosylate,YES1
Daunorubicin hydrochloride,HDAC1
Methotrexate,GLS
Fulvestrant,ESRRA
Tretinoin,DUSP6
Lenalidomide,VEGFA
Vorinostat,TUBB8
Doxorubicin hydrochloride,MAPK14
Sorafenib tosylate,MC4R
Quinacrine hydrochloride,POLK
Vandetanib,HTT
Raloxifene hydrochloride,NR3C1
Cisplatin,G6PD
Bortezomib,BCL2
Cisplatin,KRT20
Dasatinib,PLK4
Tretinoin,CDKN1B
Megestrol acetate,NPSR1
Docetaxel,KLK3
Cisplatin,HSD17B10
Tamoxifen citrate,MYOD1
Carmustine,CYP1A2
Etoposide,FGFR1
Methotrexate,NCOA3
Sorafenib tosylate,HIPK2
Erlotinib hydrochloride,AURKB
Bortezomib,PSMD13
Tretinoin,RB1
Azacitidine,TRIT1
Docetaxel,GSTP1
Tamoxifen citrate,GGT1
Vorinostat,TUBA4A
Tretinoin,HSPA8
Paclitaxel,FOS
Raloxifene hydrochloride,IL6ST
Cyclophosphamide,ITGAL
Fulvestrant,TFPI
Doxorubicin hydrochloride,ALK
Arsenic trioxide,BDNF
Bortezomib,HSPA4
Megestrol acetate,IL2RA
Methotrexate,CYP2C19
Decitabine,TET2
Mitotane,NFE2L2
Etoposide,GMNN
Idarubicin hydrochloride,PLK1
Romidepsin,HDAC2
Oxaliplatin,TP53
Paclitaxel,PIK3CG
Dactinomycin,NRG1
Mercaptopurine,NOTCH1
Tamoxifen citrate,RORC
Doxorubicin hydrochloride,TGFB1
Cladribine,TP53
Bortezomib,PSMB4
Doxorubicin hydrochloride,GSTP1
Streptozocin,HP
Daunorubicin hydrochloride,WRN
Dacarbazine,POLA2
Bortezomib,TP53
Doxorubicin hydrochloride,FANCD2
Gefitinib,ERBB2
Fluorouracil,FAS
Sorafenib tosylate,RPS6KB1
Methotrexate,PPARG
Bleomycin sulfate,BRCA1
Cyclophosphamide,IL5
Streptozocin,LCAT
Vincristine sulfate,TUBA3E
Busulfan,CYP1A2
Tretinoin,PML
Streptozocin,SSTR1
Azacitidine,HTT
Bortezomib,PSMD1
Thioguanine,PAX8
Paclitaxel,TUBA4A
Carboplatin,BIRC5
Dasatinib,IDH2
Docetaxel,BAX
Letrozole,SFTPA1
Sirolimus,EIF4E
Ruxolitinib,JAK3
Celecoxib,GHRL
Arsenic trioxide,MAPK1
Vincristine sulfate,TUBB2A
Streptozocin,CYP2D6
Dactinomycin,DDIT3
Bleomycin sulfate,MAPK8
Tretinoin,MYOD1
Vandetanib,APC
Gemcitabine hydrochloride,IDH1
Raloxifene hydrochloride,PPARG
Docetaxel,BCL2
Mercaptopurine,CYP2D6
Thalidomide,HLA-B
Raloxifene hydrochloride,IL1B
Tamoxifen citrate,CBX1
Raloxifene hydrochloride,GMNN
Streptozocin,TH
Busulfan,CYP2C19
Methotrexate,IDH1
